NM_MUNICIPIO;NR_ZONA;CD_CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;QT_VOTOS_NOMINAIS
BOA VISTA;1;13;LINDOVAL SILVA DE MATOS;CAROÇO;20;PODE;Podemos;133
BOA VISTA;5;13;ROSEANE NOGUEIRA DA SILVA;BISPA ROSEANE;20;PODE;Podemos;34
BOA VISTA;1;13;ROSEANE NOGUEIRA DA SILVA;BISPA ROSEANE;20;PODE;Podemos;19
BOA VISTA;1;13;JANICE RIBEIRO COELHO;JANICE COELHO;20;PODE;Podemos;80
BOA VISTA;5;13;JANICE RIBEIRO COELHO;JANICE COELHO;20;PODE;Podemos;38
BOA VISTA;5;13;JORGE LEANDRO ALVES DOS SANTOS;SORRISO OPERADOR;20;PODE;Podemos;252
BOA VISTA;1;13;JORGE LEANDRO ALVES DOS SANTOS;SORRISO OPERADOR;20;PODE;Podemos;83
BOA VISTA;5;13;JOAO DA COSTA VELOSO NETO;JOÃO VELOSO;20;PODE;Podemos;291
BOA VISTA;1;13;JOAO DA COSTA VELOSO NETO;JOÃO VELOSO;20;PODE;Podemos;549
CANTÁ;5;13;CLEIDIMAR SOUSA SILVA;MILA DO ARAGUAIA;13;PT;Partido dos Trabalhadores;4
CANTÁ;5;13;SEBASTIÃO COÊLHO LIMA;PIAUÍ DA DEZENOVE;13;PT;Partido dos Trabalhadores;135
CANTÁ;5;13;LINDA VITÓRIA LIMA FERREIRA DA SILVA;LINDA VITÓRIA;13;PT;Partido dos Trabalhadores;86
CANTÁ;5;13;WELLITON ANDRADE LIARTE;WELINGTON LIARTE;13;PT;Partido dos Trabalhadores;12
CANTÁ;5;13;SÉRGIO AUGUSTO SALES PERES;SÉRGIO AUGUSTO;13;PT;Partido dos Trabalhadores;10
BONFIM;5;13;SANDRA MARIA PEIXOTO SARAIVA;SANDRA SARAIVA;22;PL;Partido Liberal;17
BONFIM;5;13;EDJANE CARDOSO ALMEIDA;EDJANE CARDOSO;22;PL;Partido Liberal;8
BONFIM;5;13;NURLENE ANITA JOHNSON;ANITA JOHNSON;22;PL;Partido Liberal;11
BONFIM;5;13;BRICIO D´´´´´ ANGELO DE MEDEIROS FILHO;D ANGELO MEDEIRO;22;PL;Partido Liberal;2
BONFIM;5;13;JOSE ARIMATEIA DA SILVA;ARIMATEIA;22;PL;Partido Liberal;10
BONFIM;5;13;SANDORVAL DA SILVA;SANDORVAL ;22;PL;Partido Liberal;14
BONFIM;5;13;MADALENA JAIME DA SILVA;MADALENA  JAIME;22;PL;Partido Liberal;8
CANTÁ;5;13;ITALO HAMON LIMA VOGEL;ITALO VOGEL;11;PP;PROGRESSISTAS;329
CANTÁ;5;13;MIZAEL BARROS OLIVEIRA;MIZAEL BARROS;11;PP;PROGRESSISTAS;266
CANTÁ;5;13;FRANCISCA DA SILVA E SILVA;IRMÃ FRANCISCA;11;PP;PROGRESSISTAS;77
CANTÁ;5;13;QUEILANE PEREIRA SILVA;QUEILANE SILVA;11;PP;PROGRESSISTAS;73
CANTÁ;5;13;LUCIVALDO ALVES DE MELO;LUCIVALDO DO CANTÁ;11;PP;PROGRESSISTAS;298
CANTÁ;5;13;RONALDO CARVALHO SOUSA;RONALDO DO KIM;11;PP;PROGRESSISTAS;356
CANTÁ;5;13;VANIA COELHO DE SOUSA;VANIA COELHO;11;PP;PROGRESSISTAS;94
CAROEBE;4;13;MARLINY ANIELY GONÇALVES SILVA;SULA SEVERO;22;PL;Partido Liberal;170
CAROEBE;4;13;JOCERLAN DOS SANTOS SILVA;JOCERLAN SILVA;22;PL;Partido Liberal;203
CAROEBE;4;13;REGINALDO BUOSI SILVA;REGINALDO;22;PL;Partido Liberal;98
CAROEBE;4;13;FABIANA WAGMAKER DA SILVA;FABIANA SILVA;22;PL;Partido Liberal;156
CAROEBE;4;13;MARIA CRISTINA AVALOS FRANCO LEGHI;CRIS DA FARMACIA;22;PL;Partido Liberal;10
CAROEBE;4;13;GERSON ALVES RODRIGUES;GERSON ALVES;22;PL;Partido Liberal;79
CAROEBE;4;13;JOSE CARLOS DA COSTA;ZÉ CARLOS;22;PL;Partido Liberal;144
IRACEMA;6;13;AGNALDO ALMEIDA SILVA;PROF AGNALDO;44;UNIÃO;União Brasil;166
IRACEMA;6;13;RÔMULO CARVALHO CRUZ;ROMUNAT;44;UNIÃO;União Brasil;182
IRACEMA;6;13;MARCILENE ARAUJO DE SOUSA;MARCILENE;44;UNIÃO;União Brasil;14
